"geo.label","group","ERN_MN_EUR","ERN_MN_PPS","ratio"
"EU28","",2560,2560,6.81481481481481
"Montenegro","candidate EU",724,1306,4.27756653992395
"Serbia","candidate EU",574,1137,3.66351606805293
"The former Yugoslav Republic of Macedonia","candidate EU",494,1061,3.45940594059406
"Turkey","candidate EU",761,1272,3.5398773006135
"Iceland","EFTA",3094,2622,2.77487989018531
"Norway","EFTA",5031,3435,2.4
"Switzerland","EFTA",6011,4038,2.58890290037831
"Austria","EU",2806,2652,3.13357664233577
"Belgium","EU",3216,2959,2.25671487603306
"Bulgaria","EU",431,900,4.16103896103896
"Cyprus","EU",1840,2043,3.86295503211991
"Czech Republic","EU",925,1452,3.36082474226804
"Denmark","EU",4194,3014,2.68451688009313
"Estonia","EU",1066,1409,3.88235294117647
"Finland","EU",3232,2642,2.36873868436934
"France","EU",2775,2577,2.86873676781934
"Germany","EU",3045,3001,3.91395348837209
"Greece","EU",1562,1829,3.38728323699422
"Hungary","EU",811,1410,3.57078313253012
"Ireland","EU",3778,3090,3.82558139534884
"Italy","EU",2458,2388,2.59413027916965
"Latvia","EU",806,1149,3.97609561752988
"Lithuania","EU",706,1125,3.87975951903808
"Luxembourg","EU",4206,3492,3.31797752808989
"Malta","EU",1720,2127,2.88010425716768
"Netherlands","EU",2988,2721,3.2280442804428
"Poland","EU",980,1755,3.99185888738128
"Portugal","EU",1249,1533,4.06515580736544
"Romania","EU",521,980,4.64829396325459
"Slovakia","EU",930,1372,3.53565768621236
"Slovenia","EU",1582,1938,3.31262939958592
"Spain","EU",1985,2150,3.18294849023091
"Sweden","EU",3578,2850,2.07268041237113
"United Kingdom of Great Britain and Northern Ireland","EU",3151,2594,3.77101200686106
